brand,valor_antigo,Valor_atual,desconto,avaliacao,Quantidade de avaliação,Parcelamento,Observacao
Apple iPhone 14 (256 GB) - Azul - Distribuidor Autorizado,5.518,551,,4.9,(6382),10x 5.259,Disponível em 6 cores
iPhone 7 Plus 128 GB prateado,1.498,1.294,13% OFF,3.8,(244),10x 125,Disponível em 6 cores
Apple iPhone 12 (128 GB)  - Branco,2.699,269,,4.2,(617),10x 2.625,Disponível em 6 cores
 iPhone 7 Plus 128 GB preto-brilhante A1786,1.498,1.393,7% OFF,,,10x 135,
 iPhone 8 Plus 256 GB prateado,1.995,1.995,,4.0,(901),10x 199,Disponível em 4 cores
Apple iPhone 11 (64 Gb) - Branco Lindo 10x Sem Juros,1.997,1.997,,,,10x 199,
 iPhone X 256 Gb Lindo 10x Sem Juros ,1.800,1.440,20% OFF,3.1,(7),10x 144,
Apple iPhone 14 Plus (256 GB) - Meia-noite,5.863,5.863,,4.8,(39),10x 586,Disponível em 5 cores
 iPhone 6s 16 Gb Rose Lindo 10x Sem Juros,567,465,18% OFF,4.8,(5),10x 46,
 iPhone 7 32 Gb Preto-fosco A1778 Completo,599,599,,,,10x 59,
 iPhone 8 64 GB cinza-espacial,1.347,1.347,,4.1,(761),10x 134,Disponível em 4 cores
iPhone SE Preto 2020 (2a Geração) 64 Gb Ótimo Estado A2296,999,999,,5.0,(1),10x 99,
 iPhone 6 64 Gb Cinza-espacial + Caixa Original Lindo,588,540,8% OFF,3.9,(17),10x 54,
 iPhone XS Max 64 GB dourado,3.499,2.379,32% OFF,4.3,(53),10x 237,Disponível em 3 cores
iPhone XR 64 Gb Preto - 1 Ano De Garantia - Marcas De Uso,1.399,1.315,6% OFF,,,10x 131,
iPhone 8 Plus 64gb Lindo 10x Sem Juros,1.450,1.131,22% OFF,4.5,(22),10x 109,Disponível em 3 cores
iPhone 8 64gb Cinza Espacial Celular Bom,719,719,,4.9,(7),10x 71,
iPhone 7 32gb Preto Matte Bom - Trocafone - Celular Usado,459,459,,5.0,(2),10x 45,
iPhone 8 Plus 64gb Cinza Espacial Muito Bom - Celular Usado,989,989,,4.8,(15),10x 98,
iPhone 8 64 Gb Cinza Espacial - 1 Ano De Garantia- Excelente,899,845,6% OFF,4.7,(14),10x 84,
Apple iPhone XR 64 Gb - Lindo 10x Sem Juros,1.450,1.377,5% OFF,4.0,(1),10x 137,
 iPhone 6 16 Gb Cinza-espacial Lindo Envio Imediato,530,413,22% OFF,5.0,(1),10x 40,
 iPhone 8 64 Gb Cinza-espacial Lindo + Caixa Original ,1.050,871,17% OFF,,,10x 87,
Apple iPhone XR 64 Gb - 64gb Lindo 10x Sem Juros,1.480,1.332,10% OFF,4.9,(7),10x 133,
iPhone 7 128gb Preto Matte Bom,629,629,,5.0,(8),10x 60,
 iPhone 8 64 Gb Dourado  Lindo 10x Sem Juros,900,855,5% OFF,,,10x 85,
iPhone 12 64gb Verde Usado Com Marcas,2.329,2.142,8% OFF,,,10x 207,
iPhone XS Max 256gb Cinza Espacial Bom - Celular Usado,1.709,1.709,,5.0,(2),10x 170,
 iPhone 5s 16 GB cinza-espacial,549,549,,4.0,(25),10x 54,Disponível em 2 cores
 iPhone 8 64 Gb Cinza-espacial,944,944,,,,10x 94,
iPhone SE (2ª Geração) 128gb,1.499,1.499,,,,10x 149,Disponível em 2 cores
iPhone X 64gb Cinza Espacial Muito Bom - Celular Usado,1.199,1.199,,5.0,(2),10x 119,
Apple iPhone XR 64 Gb Branco - 1 Ano De Garantia - Excelente,1.499,1.409,6% OFF,4.3,(30),10x 140,
 iPhone 7 32 Gb Preto-fosco Lindo 10x Sem Juros ,700,588,16% OFF,4.2,(6),10x 58,
iPhone 8 64gb Dourado Bom - Trocafone - Usado,719,719,,,,10x 71,
iPhone 14 Pro 1tb Preto Espacial Muito Bom Usado - Trocafone,6.549,6.549,,,,10x 654,
Apple iPhone XS Max 64 Gb Cinza Espacial - Excelente,1.699,1.597,6% OFF,,,10x 159,
 iPhone 6s 32 Gb Cinza-espacial Lindo 10x Sem Juros,567,538,5% OFF,,,10x 53,
Apple iPhone 11 (128 Gb) - Branco Bateria 100% + Brindes,2.150,2.150,,4.1,(14),10x 215,
iPhone 8 Plus 64 Gb Dourado  - 1 Ano De Garantia- Excelente,1.199,1.127,6% OFF,4.8,(8),10x 112,
iPhone 7 Plus 32 GB preto-fosco,1.249,1.249,,3.8,(244),10x 124,Disponível em 6 cores
 iPhone 5s 32 GB cinza-espacial,1.000,1.000,,4.0,(25),10x 100,Disponível em 2 cores
 iPhone 6 Plus 64 Gb Sem Digital Desbloqueia Com Senha,700,630,10% OFF,,,10x 63,
 iPhone XS Max 256 Gb Lindo 10x Sem Juros,1.750,1.750,,4.5,(4),10x 175,
Apple iPhone 11 64 Gb Preto - 1 Ano De Garantia - Excelente,1.999,1.879,6% OFF,4.4,(33),10x 187,
iPhone 8 Plus 64gb Lindo Envio Imediato ,1.450,1.247,14% OFF,,,10x 124,Disponível em 3 cores
Apple iPhone XR 256 Gb - Lindo 10x Sem Juros,1.800,1.584,12% OFF,,,10x 158,
iPhone 7 Plus 128 Gb Rose  Lindo 10x Sem Juros ,1.150,966,16% OFF,,,10x 96,
 iPhone 7 32 Gb Preto-fosco Semi-novo,689,689,,5.0,(3),10x 68,
